Title,DOI,Citations
Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,10.3115/v1/P15-1150,1136
Knowledge Graph Embedding via Dynamic Mapping Matrix,10.3115/v1/P15-1067,969
Event Extraction via Dynamic Multi-Pooling Convolutional Neural Networks,10.3115/v1/P15-1017,397
Neural Responding Machine for Short-Text Conversation,10.3115/v1/P15-1152,370
Deep Unordered Composition Rivals Syntactic Methods for Text Classification,10.3115/v1/P15-1162,275
Semantic Parsing via Staged Query Graph Generation: Question Answering with Knowledge Base,10.3115/v1/P15-1128,273
Leveraging Linguistic Structure For Open Domain Information Extraction,10.3115/v1/P15-1034,241
Question Answering over Freebase with Multi-Column Convolutional Neural Networks,10.3115/v1/P15-1026,234
A Hierarchical Neural Autoencoder for Paragraphs and Documents,10.3115/v1/P15-1107,210
On Using Very Large Target Vocabulary for Neural Machine Translation,10.3115/v1/P15-1001,196
Addressing the Rare Word Problem in Neural Machine Translation,10.3115/v1/P15-1002,181
Transition-Based Dependency Parsing with Stack Long Short-Term Memory,10.3115/v1/P15-1033,176
Learning Semantic Representations of Users and Products for Document Level Sentiment Classification,10.3115/v1/P15-1098,172
Classifying Relations by Ranking with Convolutional Neural Networks,10.3115/v1/P15-1061,171
A Long Short-Term Memory Model for Answer Sentence Selection in Question Answering,10.3115/v1/P15-2116,167
Predicting Polarities of Tweets by Composing Word Embeddings with Long Short-Term Memory,10.3115/v1/P15-1130,153
Event Detection and Domain Adaptation with Convolutional Neural Networks,10.3115/v1/P15-2060,149
Low Resource Dependency Parsing: Cross-lingual Parameter Sharing in a Neural Network Parser,10.3115/v1/P15-2139,143
Gaussian LDA for Topic Models with Word Embeddings,10.3115/v1/P15-1077,138
Multi-Task Learning for Multiple Language Translation,10.3115/v1/P15-1166,134
Harnessing Context Incongruity for Sarcasm Detection,10.3115/v1/P15-2124,123
Compositional Semantic Parsing on Semi-Structured Tables,10.3115/v1/P15-1142,117
Topic Modeling based Sentiment Analysis on Social Media for Stock Market Prediction,10.3115/v1/P15-1131,113
Language Models for Image Captioning: The Quirks and What Works,10.3115/v1/P15-2017,113
Compositional Vector Space Models for Knowledge Base Completion,10.3115/v1/P15-1016,112
End-to-end learning of semantic role labeling using recurrent neural networks,10.3115/v1/P15-1109,103
A Dependency-Based Neural Network for Relation Classification,10.3115/v1/P15-2047,92
Semantic Clustering and Convolutional Neural Network for Short Text Categorization,10.3115/v1/P15-2058,87
SensEmbed: Learning Sense Embeddings for Word and Relational Similarity,10.3115/v1/P15-1010,85
Learning Continuous Word Embedding with Metadata for Question Retrieval in Community Question Answering,10.3115/v1/P15-1025,79
AutoExtend: Extending Word Embeddings to Embeddings for Synsets and Lexemes,10.3115/v1/P15-1173,75
Building a Semantic Parser Overnight,10.3115/v1/P15-1129,70
Language to Code: Learning Semantic Parsers for If-This-Then-That Recipes,10.3115/v1/P15-1085,69
An analysis of the user occupational class through Twitter content,10.3115/v1/P15-1169,65
Text Categorization as a Graph Classification Problem,10.3115/v1/P15-1164,65
Semantically Smooth Knowledge Graph Embedding,10.3115/v1/P15-1009,62
Hubness and Pollution: Delving into Cross-Space Mapping for Zero-Shot Learning,10.3115/v1/P15-1027,62
"PPDB 2.0: Better paraphrase ranking, fine-grained entailment relations, word embeddings, and style classification",10.3115/v1/P15-2070,60
Learning Summary Prior Representation for Extractive Summarization,10.3115/v1/P15-2136,59
Lifelong Learning for Sentiment Classification,10.3115/v1/P15-2123,52
It Depends: Dependency Parser Comparison Using A Web-based Evaluation Tool,10.3115/v1/P15-1038,51
Dependency-based Convolutional Neural Networks for Sentence Embedding,10.3115/v1/P15-2029,50
Abstractive Multi-Document Summarization via Phrase Selection and Merging,10.3115/v1/P15-1153,50
Gated Recursive Neural Network for Chinese Word Segmentation,10.3115/v1/P15-1168,46
Encoding Source Language with Convolutional Neural Network for Machine Translation,10.3115/v1/P15-1003,45
Weakly Supervised Models of Aspect-Sentiment for Online Course Discussion Forums,10.3115/v1/P15-1008,44
Embedding Methods for Fine Grained Entity Type Classification,10.3115/v1/P15-2048,44
Deep Questions without Deep Understanding,10.3115/v1/P15-1086,42
S-MART: Novel Tree-based Structured Learning Algorithms Applied to Tweet Entity Linking,10.3115/v1/P15-1049,41
The Media Frames Corpus: Annotations of Frames Across Issues,10.3115/v1/P15-2072,41
MultiGranCNN: An Architecture for General Matching of Text Chunks on Multiple Levels of Granularity,10.3115/v1/P15-1007,40
Twitter User Geolocation Using a Unified Text and Network Prediction Model,10.3115/v1/P15-2104,39
Modeling Argument Strength in Student Essays,10.3115/v1/P15-1053,39
Semantic Analysis and Helpfulness Prediction of Text for Online Product Reviews,10.3115/v1/P15-2007,38
Learning Bilingual Sentiment Word Embeddings for Cross-language Sentiment Classification,10.3115/v1/P15-1042,37
Sieve-Based Entity Linking for the Biomedical Domain,10.3115/v1/P15-2049,36
Structured Training for Neural Network Transition-Based Parsing,10.3115/v1/P15-1032,35
Joint Models of Disagreement and Stance in Online Debate,10.3115/v1/P15-1012,35
Radical Embedding: Delving Deeper to Chinese Radicals,10.3115/v1/P15-2098,35
Text to 3D Scene Generation with Rich Lexical Grounding,10.3115/v1/P15-1006,35
Cross-lingual Dependency Parsing Based on Distributed Representations,10.3115/v1/P15-1119,35
deltaBLEU: A Discriminative Metric for Generation Tasks with Intrinsically Diverse Targets,10.3115/v1/P15-2073,34
Learning Semantic Word Embeddings based on Ordinal Knowledge Constraints,10.3115/v1/P15-1145,34
Automatic Keyword Extraction on Twitter,10.3115/v1/P15-2105,33
A Domain-independent Rule-based Framework for Event Extraction,10.3115/v1/P15-4022,33
Entity-Centric Coreference Resolution with Model Stacking,10.3115/v1/P15-1136,32
Sparse Overcomplete Word Vector Representations,10.3115/v1/P15-1144,32
Learning Tag Embeddings and Tag-specific Composition Functions in Recursive Neural Network,10.3115/v1/P15-1132,32
Multi-level Translation Quality Prediction with QuEst++,10.3115/v1/P15-4020,30
Multi-domain Dialog State Tracking using Recurrent Neural Networks,10.3115/v1/P15-2130,30
Predicting Salient Updates for Disaster Summarization,10.3115/v1/P15-1155,29
Learning to Explain Entity Relationships in Knowledge Graphs,10.3115/v1/P15-1055,28
"Sparse, Contextually Informed Models for Irony Detection: Exploiting User Communities, Entities and Sentiment",10.3115/v1/P15-1100,27
Sentiment-Aspect Extraction based on Restricted Boltzmann Machines,10.3115/v1/P15-1060,27
Simplifying Lexical Simplification: Do We Need Simplified Corpora?,10.3115/v1/P15-2011,27
Learning Anaphoricity and Antecedent Ranking Features for Coreference Resolution,10.3115/v1/P15-1137,27
Learning Word Representations by Jointly Modeling Syntagmatic and Paradigmatic Relations,10.3115/v1/P15-1014,27
Sentence-level Emotion Classification with Label and Context Dependence,10.3115/v1/P15-1101,26
Document Classification by Inversion of Distributed Language Representations,10.3115/v1/P15-2008,26
Demographic Factors Improve Classification Performance,10.3115/v1/P15-1073,26
The Fixed-Size Ordinally-Forgetting Encoding Method for Neural Network Language Models,10.3115/v1/P15-2081,26
A Frame of Mind: Using Statistical Models for Detection of Framing and Agenda Setting Campaigns,10.3115/v1/P15-1157,25
Towards a Contextual Pragmatic Model to Detect Irony in Tweets,10.3115/v1/P15-2106,24
Learning Hybrid Representations to Retrieve Semantically Equivalent Questions,10.3115/v1/P15-2114,24
Ground Truth for Grammatical Error Correction Metrics,10.3115/v1/P15-2097,24
Entity Hierarchy Embedding,10.3115/v1/P15-1125,24
Answer Sequence Learning with Neural Networks for Answer Selection in Community Question Answering,10.3115/v1/P15-2117,23
Machine Comprehension with Discourse Relations,10.3115/v1/P15-1121,21
Describing Images using Inferred Visual Dependency Representations,10.3115/v1/P15-1005,21
A Neural Probabilistic Structured-Prediction Model for Transition-Based Dependency Parsing,10.3115/v1/P15-1117,21
User Based Aggregation for Biterm Topic Model,10.3115/v1/P15-2080,21
KeLP: a Kernel-based Learning Platform for Natural Language Processing,10.3115/v1/P15-4004,20
Learning Answer-Entailing Structures for Machine Comprehension,10.3115/v1/P15-1024,20
Co-training for Semi-supervised Sentiment Classification Based on Dual-view Bags-of-words Representation,10.3115/v1/P15-1102,20
Environment-Driven Lexicon Induction for High-Level Instructions,10.3115/v1/P15-1096,20
Predicting Valence-Arousal Ratings of Words Using a Weighted Graph Method,10.3115/v1/P15-2129,19
"Omnia Mutantur, Nihil Interit: Connecting Past with Present by Finding Corresponding Terms across Time",10.3115/v1/P15-1063,19
Tagging Performance Correlates with Author Age,10.3115/v1/P15-2079,19
Neural CRF Parsing,10.3115/v1/P15-1030,19
Open IE as an Intermediate Structure for Semantic Tasks,10.3115/v1/P15-2050,19
Tea Party in the House: A Hierarchical Ideal Point Topic Model and Its Application to Republican Legislators in the 112th Congress,10.3115/v1/P15-1139,18
Learning to Adapt Credible Knowledge in Cross-lingual Sentiment Analysis,10.3115/v1/P15-1041,17
"Machine Comprehension with Syntax, Frames, and Semantics",10.3115/v1/P15-2115,17
Transition-based Neural Constituent Parsing,10.3115/v1/P15-1113,16
Revisiting Word Embedding for Contrasting Meaning,10.3115/v1/P15-1011,16
Frame-Semantic Role Labeling with Heterogeneous Annotations,10.3115/v1/P15-2036,16
Bilingual Word Embeddings from Non-Parallel Document-Aligned Data Applied to Bilingual Lexicon Induction,10.3115/v1/P15-2118,16
Grounding Semantics in Olfactory Perception,10.3115/v1/P15-2038,16
Linguistic Template Extraction for Recognizing Reader-Emotion and Emotional Resonance Writing Assistance,10.3115/v1/P15-2127,16
Unsupervised Cross-Domain Word Representation Learning,10.3115/v1/P15-1071,15
Inducing Word and Part-of-Speech with Pitman-Yor Hidden Semi-Markov Models,10.3115/v1/P15-1171,15
Negation and Speculation Identification in Chinese Language,10.3115/v1/P15-1064,15
Automatic disambiguation of English puns,10.3115/v1/P15-1070,15
An Effective Neural Network Model for Graph-based Dependency Parsing,10.3115/v1/P15-1031,14
New Transfer Learning Techniques for Disparate Label Sets,10.3115/v1/P15-1046,14
A system for fine-grained aspect-based sentiment analysis of Chinese,10.3115/v1/P15-4010,14
Coupled Sequence Labeling on Heterogeneous Annotations: POS Tagging as a Case Study,10.3115/v1/P15-1172,14
Model-based Word Embeddings from Decompositions of Count Matrices,10.3115/v1/P15-1124,14
Non-distributional Word Vector Representations,10.3115/v1/P15-2076,14
Linguistic Harbingers of Betrayal: A Case Study on an Online Strategy Game,10.3115/v1/P15-1159,14
Cross-lingual Transfer of Named Entity Recognizers without Parallel Corpora,10.3115/v1/P15-2064,14
A Distributed Representation Based Query Expansion Approach for Image Captioning,10.3115/v1/P15-2018,13
Unsupervised extractive summarization via coverage maximization with syntactic and semantic concepts,10.3115/v1/P15-2138,13
A Unified Multilingual Semantic Representation of Concepts,10.3115/v1/P15-1072,13
Dependency Recurrent Neural Language Models for Sentence Completion,10.3115/v1/P15-2084,13
How Far are We from Fully Automatic High Quality Grammatical Error Correction?,10.3115/v1/P15-1068,13
LEXenstein: A Framework for Lexical Simplification,10.3115/v1/P15-4015,13
Weakly Supervised Role Identification in Teamwork Interactions,10.3115/v1/P15-1161,13
Seed-Based Event Trigger Labeling: How far can event descriptions get us?,10.3115/v1/P15-2061,12
Generative Event Schema Induction with Entity Disambiguation,10.3115/v1/P15-1019,12
Chinese Zero Pronoun Resolution: A Joint Unsupervised Discourse-Aware Model Rivaling State-of-the-Art Resolvers,10.3115/v1/P15-2053,12
Learning Relational Features with Backward Random Walks,10.3115/v1/P15-1065,12
Evaluation Dataset and System for Japanese Lexical Simplification,10.3115/v1/P15-3006,12
Aspect-Level Cross-lingual Sentiment Classification with Constrained SMT,10.3115/v1/P15-2128,12
Learning Cross-lingual Word Embeddings via Matrix Co-factorization,10.3115/v1/P15-2093,11
Learning Word Representations from Scarce and Noisy Data with Embedding Subspaces,10.3115/v1/P15-1104,11
Semantic Representations for Domain Adaptation: A Case Study on the Tree Kernel-based Method for Relation Extraction,10.3115/v1/P15-1062,11
Structural Representations for Learning Relations between Pairs of Texts,10.3115/v1/P15-1097,11
A Framework for the Construction of Monolingual and Cross-lingual Word Similarity Datasets,10.3115/v1/P15-2001,11
Word Order Typology through Multilingual Word Alignment,10.3115/v1/P15-2034,11
Inverted indexing for cross-lingual NLP,10.3115/v1/P15-1165,11
How Well Do Distributional Models Capture Different Types of Semantic Knowledge?,10.3115/v1/P15-2119,11
Accurate Linear-Time Chinese Word Segmentation via Embedding Matching,10.3115/v1/P15-1167,11
Point Process Modelling of Rumour Dynamics in Social Media,10.3115/v1/P15-2085,10
Lexical Comparison Between Wikipedia and Twitter Corpora by Using Word Embeddings,10.3115/v1/P15-2108,10
Learning language through pictures,10.3115/v1/P15-2019,10
End-to-end Argument Generation System in Debating,10.3115/v1/P15-4019,10
Emotion Detection in Code-switching Texts via Bilingual and Sentimental Information,10.3115/v1/P15-2125,10
Stacked Ensembles of Information Extractors for Knowledge-Base Population,10.3115/v1/P15-1018,10
CCG Supertagging with a Recurrent Neural Network,10.3115/v1/P15-2041,10
Bring you to the past: Automatic Generation of Topically Relevant Event Chronicles,10.3115/v1/P15-1056,9
Summarization of Multi-Document Topic Hierarchies using Submodular Mixtures,10.3115/v1/P15-1054,9
"Detecting Deceptive Opinion Spam using Linguistics, Behavioral and Statistical Modeling",10.3115/v1/P15-5007,9
Semi-Stacking for Semi-supervised Sentiment Classification,10.3115/v1/P15-2005,9
Joint Graphical Models for Date Selection in Timeline Summarization,10.3115/v1/P15-1154,9
Efficient Top-Down BTG Parsing for Machine Translation Preordering,10.3115/v1/P15-1021,9
Non-Linear Text Regression with a Deep Convolutional Neural Network,10.3115/v1/P15-2030,9
Automatic Identification of Rhetorical Questions,10.3115/v1/P15-2122,8
Rhetoric Map of an Answer to Compound Queries,10.3115/v1/P15-2112,8
Learning the Semantics of Manipulation Action,10.3115/v1/P15-1066,8
Recovering dropped pronouns from Chinese text messages,10.3115/v1/P15-2051,8
Pairwise Neural Machine Translation Evaluation,10.3115/v1/P15-1078,8
Matrix Factorization with Knowledge Graph Propagation for Unsupervised Spoken Language Understanding,10.3115/v1/P15-1047,8
Event-Driven Headline Generation,10.3115/v1/P15-1045,8
Detecting Deceptive Groups Using Conversations and Network Analysis,10.3115/v1/P15-1083,8
Scalable Semantic Parsing with Partial Ontologies,10.3115/v1/P15-1127,8
A Deeper Exploration of the Standard PB-SMT Approach to Text Simplification and its Evaluation,10.3115/v1/P15-2135,8
Jointly optimizing word representations for lexical and sentential tasks with the C-PHRASE model,10.3115/v1/P15-1094,8
Multi-Objective Optimization for the Joint Disambiguation of Nouns and Named Entities,10.3115/v1/P15-1058,8
Simple Learning and Compositional Application of Perceptually Grounded Word Meanings for Incremental Reference Resolution,10.3115/v1/P15-1029,8
Exploring the Planet of the APEs: a Comparative Study of State-of-the-art Methods for MT Automatic Post-Editing,10.3115/v1/P15-2026,8
NiuParser: A Chinese Syntactic and Semantic Parsing Toolkit,10.3115/v1/P15-4025,8
A Re-ranking Model for Dependency Parser with Recursive Convolutional Neural Network,10.3115/v1/P15-1112,8
