Title,DOI,Citations
SimCSE: Simple Contrastive Learning of Sentence Embeddings,10.18653/v1/2021.emnlp-main.552,680
The Power of Scale for Parameter-Efficient Prompt Tuning,10.18653/v1/2021.emnlp-main.243,473
CodeT5: Identifier-aware Unified Pre-trained Encoder-Decoder Models for Code Understanding and Generation,10.18653/v1/2021.emnlp-main.685,299
CLIPScore: A Reference-free Evaluation Metric for Image Captioning,10.18653/v1/2021.emnlp-main.595,120
VideoCLIP: Contrastive Pre-training for Zero-shot Video-Text Understanding,10.18653/v1/2021.emnlp-main.544,118
Improving Multimodal Fusion with Hierarchical Mutual Information Maximization for Multimodal Sentiment Analysis,10.18653/v1/2021.emnlp-main.723,113
PICARD: Parsing Incrementally for Constrained Auto-Regressive Decoding from Language Models,10.18653/v1/2021.emnlp-main.779,65
N-LTP: An Open-source Neural Language Technology Platform for Chinese,10.18653/v1/2021.emnlp-demo.6,55
A Partition Filter Network for Joint Entity and Relation Extraction,10.18653/v1/2021.emnlp-main.17,54
Condenser: a Pre-training Architecture for Dense Retrieval,10.18653/v1/2021.emnlp-main.75,52
TimeTraveler: Reinforcement Learning for Temporal Knowledge Graph Forecasting,10.18653/v1/2021.emnlp-main.655,51
Retrieval Augmentation Reduces Hallucination in Conversation,10.18653/v1/2021.findings-emnlp.320,48
Aspect Sentiment Quad Prediction as Paraphrase Generation,10.18653/v1/2021.emnlp-main.726,48
Datasets: A Community Library for Natural Language Processing,10.18653/v1/2021.emnlp-demo.21,46
Documenting Large Webtext Corpora: A Case Study on the Colossal Clean Crawled Corpus,10.18653/v1/2021.emnlp-main.98,45
RocketQAv2: A Joint Training Method for Dense Passage Retrieval and Passage Re-ranking,10.18653/v1/2021.emnlp-main.224,45
Muppet: Massive Multi-task Representations with Pre-Finetuning,10.18653/v1/2021.emnlp-main.468,44
TSDAE: Using Transformer-based Sequential Denoising Auto-Encoderfor Unsupervised Sentence Embedding Learning,10.18653/v1/2021.findings-emnlp.59,41
"Fighting the COVID-19 Infodemic: Modeling the Perspective of Journalists, Fact-Checkers, Social Media Platforms, Policy Makers, and the Society",10.18653/v1/2021.findings-emnlp.56,39
AEDA: An Easier Data Augmentation Technique for Text Classification,10.18653/v1/2021.findings-emnlp.234,39
Learning Implicit Sentiment in Aspect-based Sentiment Analysis with Supervised Contrastive Pre-Training,10.18653/v1/2021.emnlp-main.22,38
Contrastive Code Representation Learning,10.18653/v1/2021.emnlp-main.482,38
The Stem Cell Hypothesis: Dilemma behind Multi-Task Learning with Transformer Encoders,10.18653/v1/2021.emnlp-main.451,38
TransferNet: An Effective and Transparent Framework for Multi-hop Question Answering over Relation Graph,10.18653/v1/2021.emnlp-main.341,37
Joint Multi-modal Aspect-Sentiment Analysis with Auxiliary Cross-modal Relation Detection,10.18653/v1/2021.emnlp-main.360,35
