Title,DOI,Citations
"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",10.18653/v1/2020.acl-main.703,1850
Unsupervised Cross-lingual Representation Learning at Scale,10.18653/v1/2020.acl-main.747,948
Stanza: A Python Natural Language Processing Toolkit for Many Human Languages,10.18653/v1/2020.acl-demos.14,403
Don’t Stop Pretraining: Adapt Language Models to Domains and Tasks,10.18653/v1/2020.acl-main.740,385
Quantifying Attention Flow in Transformers,10.18653/v1/2020.acl-main.385,279
Relational Graph Attention Network for Aspect-based Sentiment Analysis,10.18653/v1/2020.acl-main.295,255
A Novel Cascade Binary Tagging Framework for Relational Triple Extraction,10.18653/v1/2020.acl-main.136,251
DIALOGPT : Large-Scale Generative Pre-training for Conversational Response Generation,10.18653/v1/2020.acl-demos.30,241
"Climbing towards NLU: On Meaning, Form, and Understanding in the Age of Data",10.18653/v1/2020.acl-main.463,222
CamemBERT: a Tasty French Language Model,10.18653/v1/2020.acl-main.645,221
A Unified MRC Framework for Named Entity Recognition,10.18653/v1/2020.acl-main.519,212
FLAT: Chinese NER Using Flat-Lattice Transformer,10.18653/v1/2020.acl-main.611,203
GoEmotions: A Dataset of Fine-Grained Emotions,10.18653/v1/2020.acl-main.372,194
Improving Multi-hop Question Answering over Knowledge Graphs using Knowledge Base Embeddings,10.18653/v1/2020.acl-main.412,191
GCAN: Graph-aware Co-Attention Networks for Explainable Fake News Detection on Social Media,10.18653/v1/2020.acl-main.48,187
Integrating Multimodal Information in Large Pretrained Transformers,10.18653/v1/2020.acl-main.214,187
Language (Technology) is Power: A Critical Survey of “Bias” in NLP,10.18653/v1/2020.acl-main.485,184
MIND: A Large-scale Dataset for News Recommendation,10.18653/v1/2020.acl-main.331,178
A Transformer-based Approach for Source Code Summarization,10.18653/v1/2020.acl-main.449,177
Dice Loss for Data-imbalanced NLP Tasks,10.18653/v1/2020.acl-main.45,177
Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,10.18653/v1/2020.acl-main.442,176
MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices,10.18653/v1/2020.acl-main.195,168
