Title,DOI,Citations
Universal Language Model Fine-tuning for Text Classification,10.18653/v1/P18-1031,1338
"Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning",10.18653/v1/P18-1238,647
Know What You Don’t Know: Unanswerable Questions for SQuAD,10.18653/v1/P18-2124,472
Chinese NER Using Lattice LSTM,10.18653/v1/P18-1144,453
Efficient Low-rank Multimodal Fusion With Modality-Specific Factors,10.18653/v1/P18-1209,372
Aspect Based Sentiment Analysis with Gated Convolutional Networks,10.18653/v1/P18-1234,320
"Personalizing Dialogue Agents: I have a dog, do you have pets too?",10.18653/v1/P18-1205,307
Rumor Detection on Twitter with Tree-structured Recursive Neural Networks,10.18653/v1/P18-1184,291
Subword Regularization: Improving Neural Network Translation Models with Multiple Subword Candidates,10.18653/v1/P18-1007,260
Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph,10.18653/v1/P18-1208,259
A Stylometric Inquiry into Hyperpartisan and Fake News,10.18653/v1/P18-1022,254
Transformation Networks for Target-Oriented Sentiment Classification,10.18653/v1/P18-1087,249
AllenNLP: A Deep Semantic Natural Language Processing Platform,10.18653/v1/W18-2501,249
HotFlip: White-Box Adversarial Examples for Text Classification,10.18653/v1/P18-2006,247
Hierarchical Neural Story Generation,10.18653/v1/P18-1082,243
Extracting Relational Facts by an End-to-End Neural Model with Copy Mechanism,10.18653/v1/P18-1047,229
Analogical Reasoning on Chinese Morphological and Semantic Relations,10.18653/v1/P18-2023,213
Joint Embedding of Words and Labels for Text Classification,10.18653/v1/P18-1216,208
"Obtaining Reliable Human Ratings of Valence, Arousal, and Dominance for 20,000 English Words",10.18653/v1/P18-1017,204
On the Automatic Generation of Medical Imaging Reports,10.18653/v1/P18-1240,182
Fast Abstractive Summarization with Reinforce-Selected Sentence Rewriting,10.18653/v1/P18-1063,162
Double Embeddings and CNN-based Sequence Labeling for Aspect Extraction,10.18653/v1/P18-2094,155
Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,10.18653/v1/P18-1041,144
What you can cram into a single $&!#* vector: Probing sentence embeddings for linguistic properties,10.18653/v1/P18-1198,143
Stock Movement Prediction from Tweets and Historical Prices,10.18653/v1/P18-1183,143
Neural Document Summarization by Jointly Learning to Score and Select Sentences,10.18653/v1/P18-1061,135
A robust self-learning method for fully unsupervised cross-lingual mappings of word embeddings,10.18653/v1/P18-1073,134
Multi-Turn Response Selection for Chatbots with Deep Attention Matching Network,10.18653/v1/P18-1103,132
Graph-to-Sequence Learning using Gated Graph Neural Networks,10.18653/v1/P18-1026,124
